Intercept,Period_1,Period_2,Period_3,Entry_Type_Carried,Entry_Type_Dumped,Entry_Type_Played,Team_Women - Canada,Team_Women - United States,Y_coordinate_centered,player_id,zone_entry_success,us_powerplay,canada_powerplay
1,1,0,0,1,0,0,1,0,-36.5,7,False,0,0
1,1,0,0,0,1,0,0,1,9.5,22,False,0,0
1,1,0,0,1,0,0,1,0,37.5,42,False,0,0
1,1,0,0,0,0,1,0,1,41.5,20,False,0,0
1,1,0,0,1,0,0,1,0,20.5,8,False,0,0
1,1,0,0,0,1,0,0,1,-26.5,2,False,0,0
1,1,0,0,0,1,0,0,1,40.5,39,False,0,0
1,1,0,0,0,1,0,1,0,7.5,27,False,0,0
1,1,0,0,1,0,0,0,1,38.5,18,True,0,0
1,1,0,0,0,0,1,1,0,-37.5,24,False,0,0
1,1,0,0,0,1,0,0,1,38.5,18,False,0,0
1,1,0,0,0,1,0,1,0,-40.5,15,True,0,0
1,1,0,0,0,1,0,0,1,-38.5,11,False,0,0
1,1,0,0,0,1,0,0,1,40.5,22,False,0,0
1,1,0,0,0,1,0,1,0,6.5,6,True,0,0
1,1,0,0,1,0,0,1,0,-1.5,14,True,0,0
1,1,0,0,0,1,0,0,1,37.5,19,False,0,0
1,1,0,0,0,1,0,0,1,33.5,0,False,0,0
1,1,0,0,1,0,0,1,0,-34.5,43,False,0,0
1,1,0,0,1,0,0,1,0,-7.5,43,False,0,0
1,1,0,0,1,0,0,1,0,38.5,7,False,0,0
1,1,0,0,0,1,0,1,0,38.5,24,True,0,0
1,1,0,0,1,0,0,0,1,30.5,38,False,0,0
1,1,0,0,0,0,1,0,1,39.5,33,True,0,0
1,1,0,0,1,0,0,0,1,-33.5,2,True,1,0
1,1,0,0,1,0,0,1,0,-3.5,40,True,0,0
1,1,0,0,0,1,0,0,1,41.5,18,True,0,0
1,1,0,0,1,0,0,0,1,40.5,22,False,1,0
1,1,0,0,1,0,0,0,1,22.5,20,True,1,0
1,1,0,0,1,0,0,0,1,39.5,11,True,1,0
1,1,0,0,1,0,0,1,0,38.5,15,True,1,0
1,1,0,0,1,0,0,1,0,-25.5,42,True,0,0
1,1,0,0,1,0,0,1,0,1.5,43,False,0,0
1,1,0,0,1,0,0,1,0,-37.5,27,True,0,0
1,1,0,0,0,1,0,0,1,-4.5,22,False,0,0
1,1,0,0,1,0,0,1,0,3.5,6,True,0,0
1,1,0,0,0,1,0,1,0,-34.5,15,True,0,0
1,1,0,0,1,0,0,1,0,-30.5,35,True,0,0
1,1,0,0,0,1,0,1,0,25.5,42,False,0,1
1,1,0,0,0,1,0,0,1,-7.5,11,False,0,1
1,1,0,0,1,0,0,1,0,27.5,29,True,0,1
1,1,0,0,0,1,0,1,0,32.5,23,False,0,1
1,1,0,0,1,0,0,1,0,-26.5,7,True,0,0
1,1,0,0,1,0,0,0,1,14.5,0,True,0,0
1,0,1,0,0,1,0,0,1,-40.5,47,False,1,0
1,0,1,0,1,0,0,0,1,34.5,1,True,1,0
1,0,1,0,1,0,0,0,1,37.5,46,True,1,0
1,0,1,0,0,0,1,0,1,-8.5,38,True,0,0
1,0,1,0,1,0,0,0,1,-31.5,46,True,0,0
1,0,1,0,1,0,0,1,0,-5.5,7,True,0,0
1,0,1,0,1,0,0,0,1,6.5,2,False,0,0
1,0,1,0,0,1,0,1,0,28.5,27,True,0,0
1,0,1,0,0,1,0,0,1,29.5,18,False,0,0
1,0,1,0,1,0,0,1,0,31.5,43,False,0,0
1,0,1,0,1,0,0,0,1,-35.5,1,True,0,0
1,0,1,0,1,0,0,1,0,24.5,29,False,0,0
1,0,1,0,1,0,0,1,0,-22.5,7,True,0,0
1,0,1,0,1,0,0,0,1,-33.5,47,False,0,0
1,0,1,0,1,0,0,1,0,10.5,43,True,0,0
1,0,1,0,1,0,0,0,1,12.5,2,False,0,0
1,0,1,0,0,0,1,0,1,8.5,19,True,0,0
1,0,1,0,0,1,0,0,1,40.5,19,False,0,0
1,0,1,0,0,1,0,1,0,-39.5,15,False,0,0
1,0,1,0,0,1,0,0,1,34.5,33,False,0,0
1,0,1,0,1,0,0,1,0,38.5,24,True,0,0
1,0,1,0,1,0,0,1,0,-33.5,24,False,0,0
1,0,1,0,0,1,0,1,0,-15.5,13,False,0,0
1,0,1,0,1,0,0,1,0,-40.5,43,True,0,0
1,0,1,0,0,1,0,0,1,-11.5,22,False,0,0
1,0,1,0,0,1,0,1,0,-38.5,14,False,0,0
1,0,1,0,1,0,0,0,1,-39.5,22,False,0,0
1,0,1,0,0,1,0,0,1,17.5,22,False,0,0
1,0,1,0,0,0,1,0,1,-40.5,0,True,0,0
1,0,1,0,0,1,0,0,1,-40.5,38,False,0,0
1,0,1,0,0,1,0,0,1,-40.5,44,False,0,0
1,0,1,0,1,0,0,1,0,-38.5,37,False,0,0
