Date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2,isin_ozone_for_home_team,isin_ozone_for_away_team,zone_entry_success,Position,is_forward,Entry_Type,Game,Dumped,Played,Carried,Y_coordinate_centered,us_powerplay,canada_powerplay
2023-11-08,Women - United States,Women - Canada,1,19:36,5,5,0,0,Women - Canada,Blayre Turnbull,Zone Entry,125,6,Carried,,,,Haley Winn,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,-36.5,0,0
2023-11-08,Women - United States,Women - Canada,1,19:23,5,5,0,0,Women - United States,Hilary Knight,Zone Entry,125,52,Dumped,,,,Erin Ambrose,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,9.5,0,0
2023-11-08,Women - United States,Women - Canada,1,19:18,5,5,0,0,Women - Canada,Sarah Fillier,Zone Entry,125,80,Carried,,,,Rory Guilday,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,37.5,0,0
2023-11-08,Women - United States,Women - Canada,1,18:56,5,5,0,0,Women - United States,Hannah Bilka,Zone Entry,126,84,Played,,,,Ashton Bell,,,True,False,False,F,True,Played,2023-11-08,False,True,False,41.5,0,0
2023-11-08,Women - United States,Women - Canada,1,18:48,5,5,0,0,Women - Canada,Brianne Jenner,Zone Entry,125,63,Carried,,,,Savannah Harmon,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,20.5,0,0
2023-11-08,Women - United States,Women - Canada,1,18:23,5,5,0,0,Women - United States,Alex Carpenter,Zone Entry,125,16,Dumped,,,,Renata Fast,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,-26.5,0,0
2023-11-08,Women - United States,Women - Canada,1,18:01,5,5,0,0,Women - United States,Natalie Buchbinder,Zone Entry,126,83,Dumped,,,,Jocelyne Larocque,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,40.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:51,5,5,0,0,Women - Canada,Jessie Eldridge,Zone Entry,125,50,Dumped,,,,Megan Keller,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,7.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:44,5,5,0,0,Women - United States,Grace Zumwinkle,Zone Entry,125,81,Carried,,,,Ella Shelton,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:30,5,5,0,0,Women - Canada,Jamie Lee Rattray,Zone Entry,125,5,Played,,,,Haley Winn,,,False,True,False,F,True,Played,2023-11-08,False,True,False,-37.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:17,5,5,0,0,Women - United States,Grace Zumwinkle,Zone Entry,125,81,Dumped,,,,Renata Fast,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:07,5,5,0,0,Women - Canada,Emma Maltais,Zone Entry,124,2,Dumped,,,,Rory Guilday,,,False,True,True,F,True,Dumped,2023-11-08,True,False,False,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,1,16:33,5,5,0,0,Women - United States,Cayla Barnes,Zone Entry,126,4,Dumped,,,,Jocelyne Larocque,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,-38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,16:22,5,5,0,0,Women - United States,Hilary Knight,Zone Entry,126,83,Dumped,,,,Ashton Bell,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,40.5,0,0
2023-11-08,Women - United States,Women - Canada,1,16:07,5,5,0,0,Women - Canada,Ashton Bell,Zone Entry,125,49,Dumped,,,,Savannah Harmon,,,False,True,True,D,False,Dumped,2023-11-08,True,False,False,6.5,0,0
2023-11-08,Women - United States,Women - Canada,1,15:40,5,5,0,0,Women - Canada,Emily Clark,Zone Entry,124,41,Carried,,,,Savannah Harmon,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-1.5,0,0
2023-11-08,Women - United States,Women - Canada,1,14:07,5,5,0,0,Women - United States,Haley Winn,Zone Entry,125,80,Dumped,,,,Jamie Bourbonnais,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,37.5,0,0
2023-11-08,Women - United States,Women - Canada,1,13:46,5,5,0,0,Women - United States,Abbey Murphy,Zone Entry,125,76,Dumped,,,,Jocelyne Larocque,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,33.5,0,0
2023-11-08,Women - United States,Women - Canada,1,13:31,5,5,0,0,Women - Canada,Sarah Nurse,Zone Entry,125,8,Carried,,,,Haley Winn,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,-34.5,0,0
2023-11-08,Women - United States,Women - Canada,1,13:14,5,5,0,0,Women - Canada,Sarah Nurse,Zone Entry,127,35,Carried,,,,Haley Winn,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,-7.5,0,0
2023-11-08,Women - United States,Women - Canada,1,12:28,5,5,0,0,Women - Canada,Blayre Turnbull,Zone Entry,125,81,Carried,,,,Rory Guilday,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,11:54,5,5,0,0,Women - Canada,Jamie Lee Rattray,Zone Entry,124,81,Dumped,,,,Natalie Buchbinder,,,False,True,True,F,True,Dumped,2023-11-08,True,False,False,38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,11:03,5,5,0,0,Women - United States,Megan Keller,Zone Entry,125,73,Carried,,,,Renata Fast,,,True,False,False,D,False,Carried,2023-11-08,False,False,True,30.5,0,0
2023-11-08,Women - United States,Women - Canada,1,10:56,5,5,0,0,Women - United States,Lacey Eden,Zone Entry,125,82,Played,,,,Renata Fast,,,True,False,True,F,True,Played,2023-11-08,False,True,False,39.5,0,0
2023-11-08,Women - United States,Women - Canada,1,9:28,5,4,0,0,Women - United States,Alex Carpenter,Zone Entry,125,9,Carried,,,,Erin Ambrose,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,-33.5,1,0
2023-11-08,Women - United States,Women - Canada,1,8:25,5,5,0,0,Women - Canada,Renata Fast,Zone Entry,124,39,Carried,,,,Megan Keller,,,False,True,True,D,False,Carried,2023-11-08,False,False,True,-3.5,0,0
2023-11-08,Women - United States,Women - Canada,1,8:13,5,5,0,0,Women - United States,Grace Zumwinkle,Zone Entry,125,84,Dumped,,,,Jocelyne Larocque,,,True,False,True,F,True,Dumped,2023-11-08,True,False,False,41.5,0,0
2023-11-08,Women - United States,Women - Canada,1,7:11,5,4,0,0,Women - United States,Hilary Knight,Zone Entry,125,83,Carried,,,,Jamie Bourbonnais,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,40.5,1,0
2023-11-08,Women - United States,Women - Canada,1,6:25,5,4,0,0,Women - United States,Hannah Bilka,Zone Entry,125,65,Carried,,,,Jamie Bourbonnais,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,22.5,1,0
2023-11-08,Women - United States,Women - Canada,1,6:07,5,4,0,0,Women - United States,Cayla Barnes,Zone Entry,126,82,Carried,,,,Ella Shelton,,,True,False,True,D,False,Carried,2023-11-08,False,False,True,39.5,1,0
2023-11-08,Women - United States,Women - Canada,1,5:45,5,4,0,0,Women - Canada,Emma Maltais,Zone Entry,125,81,Carried,,,,Cayla Barnes,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,38.5,1,0
2023-11-08,Women - United States,Women - Canada,1,4:42,5,5,0,0,Women - Canada,Sarah Fillier,Zone Entry,125,17,Carried,,,,Megan Keller,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-25.5,0,0
2023-11-08,Women - United States,Women - Canada,1,4:17,5,5,0,0,Women - Canada,Sarah Nurse,Zone Entry,124,44,Carried,,,,Rory Guilday,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,1.5,0,0
2023-11-08,Women - United States,Women - Canada,1,4:06,5,5,0,0,Women - Canada,Jessie Eldridge,Zone Entry,124,5,Carried,,,,Cayla Barnes,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-37.5,0,0
2023-11-08,Women - United States,Women - Canada,1,3:49,5,5,0,0,Women - United States,Hilary Knight,Zone Entry,126,38,Dumped,,,,Ashton Bell,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,-4.5,0,0
2023-11-08,Women - United States,Women - Canada,1,3:43,5,5,0,0,Women - Canada,Ashton Bell,Zone Entry,124,46,Carried,,,,Savannah Harmon,,,False,True,True,D,False,Carried,2023-11-08,False,False,True,3.5,0,0
2023-11-08,Women - United States,Women - Canada,1,3:27,5,5,0,0,Women - Canada,Emma Maltais,Zone Entry,124,8,Dumped,,,,Natalie Buchbinder,,,False,True,True,F,True,Dumped,2023-11-08,True,False,False,-34.5,0,0
2023-11-08,Women - United States,Women - Canada,1,2:39,5,5,0,0,Women - Canada,Laura Stacey,Zone Entry,125,12,Carried,,,,Megan Keller,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-30.5,0,0
2023-11-08,Women - United States,Women - Canada,1,1:58,4,5,0,0,Women - Canada,Sarah Fillier,Zone Entry,124,68,Dumped,,,,Rory Guilday,,,False,True,False,F,True,Dumped,2023-11-08,True,False,False,25.5,0,1
2023-11-08,Women - United States,Women - Canada,1,1:33,4,5,0,0,Women - United States,Cayla Barnes,Zone Entry,126,35,Dumped,,,,Jamie Bourbonnais,,,True,False,False,D,False,Dumped,2023-11-08,True,False,False,-7.5,0,1
2023-11-08,Women - United States,Women - Canada,1,1:22,4,5,0,0,Women - Canada,Julia Gosling,Zone Entry,125,70,Carried,,,,Cayla Barnes,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,27.5,0,1
2023-11-08,Women - United States,Women - Canada,1,0:55,4,5,0,0,Women - Canada,Jamie Bourbonnais,Zone Entry,125,75,Dumped,,,,Savannah Harmon,,,False,True,False,D,False,Dumped,2023-11-08,True,False,False,32.5,0,1
2023-11-08,Women - United States,Women - Canada,1,0:34,5,5,0,0,Women - Canada,Blayre Turnbull,Zone Entry,123,16,Carried,,,,Savannah Harmon,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-26.5,0,0
2023-11-08,Women - United States,Women - Canada,1,0:15,5,5,0,0,Women - United States,Abbey Murphy,Zone Entry,125,57,Carried,,,,Renata Fast,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,14.5,0,0
2023-11-08,Women - United States,Women - Canada,2,18:40,5,4,1,0,Women - United States,Tessa Janecke,Zone Entry,125,2,Dumped,,,,Jamie Bourbonnais,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,-40.5,1,0
2023-11-08,Women - United States,Women - Canada,2,18:19,5,4,1,0,Women - United States,Abby Roque,Zone Entry,125,77,Carried,,,,Ella Shelton,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,34.5,1,0
2023-11-08,Women - United States,Women - Canada,2,17:26,5,4,1,0,Women - United States,Taylor Heise,Zone Entry,124,80,Carried,,,,Jocelyne Larocque,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,37.5,1,0
2023-11-08,Women - United States,Women - Canada,2,16:34,5,5,1,0,Women - United States,Megan Keller,Zone Entry,124,34,Played,,,,Jamie Bourbonnais,,,True,False,True,D,False,Played,2023-11-08,False,True,False,-8.5,0,0
2023-11-08,Women - United States,Women - Canada,2,15:54,5,5,1,0,Women - United States,Taylor Heise,Zone Entry,125,11,Carried,,,,Jessica DiGirolamo,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,-31.5,0,0
2023-11-08,Women - United States,Women - Canada,2,15:14,5,5,1,0,Women - Canada,Blayre Turnbull,Zone Entry,126,37,Carried,,,,Haley Winn,,,False,True,True,F,True,Carried,2023-11-08,False,False,True,-5.5,0,0
2023-11-08,Women - United States,Women - Canada,2,14:58,5,5,1,0,Women - United States,Alex Carpenter,Zone Entry,125,49,Carried,,,,Jocelyne Larocque,,,True,False,False,F,True,Carried,2023-11-08,False,False,True,6.5,0,0
2023-11-08,Women - United States,Women - Canada,2,14:32,5,5,1,0,Women - Canada,Jessie Eldridge,Zone Entry,125,71,Dumped,,,,Savannah Harmon,,,False,True,True,F,True,Dumped,2023-11-08,True,False,False,28.5,0,0
2023-11-08,Women - United States,Women - Canada,2,13:17,5,5,1,0,Women - United States,Grace Zumwinkle,Zone Entry,125,72,Dumped,,,,Jocelyne Larocque,,,True,False,False,F,True,Dumped,2023-11-08,True,False,False,29.5,0,0
2023-11-08,Women - United States,Women - Canada,2,13:00,5,5,1,0,Women - Canada,Sarah Nurse,Zone Entry,125,74,Carried,,,,Megan Keller,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,31.5,0,0
2023-11-08,Women - United States,Women - Canada,2,12:53,5,5,1,0,Women - United States,Abby Roque,Zone Entry,124,7,Carried,,,,Jessica DiGirolamo,,,True,False,True,F,True,Carried,2023-11-08,False,False,True,-35.5,0,0
2023-11-08,Women - United States,Women - Canada,2,12:38,5,5,1,0,Women - Canada,Julia Gosling,Zone Entry,126,67,Carried,,,,Megan Keller,,,False,True,False,F,True,Carried,2023-11-08,False,False,True,24.5,0,0
