Date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2,isin_ozone_for_home_team,isin_ozone_for_away_team,zone_entry_success,Position,is_forward,Entry_Type,Game,Dumped,Played,timeline,Blayre Turnbull,Emma Maltais,Savannah Harmon,Abbey Murphy,Jamie Lee Rattray,Ashton Bell,Cayla Barnes,Hilary Knight,Jessie Eldridge,Julia Gosling,Taylor Heise,Jamie Bourbonnais,Rory Guilday,Sarah Nurse,Brianne Jenner,Jessica DiGirolamo,Sarah Fillier,Ella Shelton,Rebecca Gilmore,Grace Zumwinkle,Hayley Scamurra,Renata Fast,Megan Keller,Jocelyne Larocque,Marie-Philip Poulin,Kelly Pannek,Britta Curl,Lacey Eden,Alex Carpenter,Abby Roque,Tessa Janecke,Hannah Bilka,Laura Stacey,Kristin O'Neill,Haley Winn,Gabbie Hughes,Emily Clark,Erin Ambrose,Natalie Buchbinder,Sophie Jaques,Laila Edwards,Kirsten Simms,Caroline Harvey,Anna Wilgren,Nicole Gosling,Loren Gabel,Danielle Serdachny,Jennifer Gardiner,Anne Cherkowski,Allyson Simpson,Casey O'Brien,Y_coordinate_centered,us_powerplay,canada_powerplay
2023-11-08,Women - United States,Women - Canada,1,19:36,5,5,0,0,Women - Canada,Blayre Turnbull,Zone Entry,125,6,Carried,,,,Haley Winn,,,False,True,False,F,True,Carried,2023-11-08,False,False,24,1.0,1.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.5,0,0
2023-11-08,Women - United States,Women - Canada,1,19:23,5,5,0,0,Women - United States,Hilary Knight,Zone Entry,125,52,Dumped,,,,Erin Ambrose,,,True,False,False,F,True,Dumped,2023-11-08,True,False,37,1.0,1.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0,0
2023-11-08,Women - United States,Women - Canada,1,19:18,5,5,0,0,Women - Canada,Sarah Fillier,Zone Entry,125,80,Carried,,,,Rory Guilday,,,False,True,False,F,True,Carried,2023-11-08,False,False,42,1.0,1.0,0.0,1,0.0,0.0,1.0,1,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0,0
2023-11-08,Women - United States,Women - Canada,1,18:56,5,5,0,0,Women - United States,Hannah Bilka,Zone Entry,126,84,Played,,,,Ashton Bell,,,True,False,False,F,True,Played,2023-11-08,False,True,64,0.0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,0,0
2023-11-08,Women - United States,Women - Canada,1,18:48,5,5,0,0,Women - Canada,Brianne Jenner,Zone Entry,125,63,Carried,,,,Savannah Harmon,,,False,True,False,F,True,Carried,2023-11-08,False,False,72,0.0,0.0,1.0,0,0.0,1.0,1.0,0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0,0
2023-11-08,Women - United States,Women - Canada,1,18:23,5,5,0,0,Women - United States,Alex Carpenter,Zone Entry,125,16,Dumped,,,,Renata Fast,,,True,False,False,F,True,Dumped,2023-11-08,True,False,97,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.0,1.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.5,0,0
2023-11-08,Women - United States,Women - Canada,1,18:01,5,5,0,0,Women - United States,Natalie Buchbinder,Zone Entry,126,83,Dumped,,,,Jocelyne Larocque,,,True,False,False,D,False,Dumped,2023-11-08,True,False,119,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0.0,1.0,1.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:51,5,5,0,0,Women - Canada,Jessie Eldridge,Zone Entry,125,50,Dumped,,,,Megan Keller,,,False,True,False,F,True,Dumped,2023-11-08,True,False,129,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:44,5,5,0,0,Women - United States,Grace Zumwinkle,Zone Entry,125,81,Carried,,,,Ella Shelton,,,True,False,True,F,True,Carried,2023-11-08,False,False,136,0.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:30,5,5,0,0,Women - Canada,Jamie Lee Rattray,Zone Entry,125,5,Played,,,,Haley Winn,,,False,True,False,F,True,Played,2023-11-08,False,True,150,0.0,0.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:17,5,5,0,0,Women - United States,Grace Zumwinkle,Zone Entry,125,81,Dumped,,,,Renata Fast,,,True,False,False,F,True,Dumped,2023-11-08,True,False,163,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,17:07,5,5,0,0,Women - Canada,Emma Maltais,Zone Entry,124,2,Dumped,,,,Rory Guilday,,,False,True,True,F,True,Dumped,2023-11-08,True,False,173,1.0,1.0,0.0,1,0.0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.5,0,0
2023-11-08,Women - United States,Women - Canada,1,16:33,5,5,0,0,Women - United States,Cayla Barnes,Zone Entry,126,4,Dumped,,,,Jocelyne Larocque,,,True,False,False,D,False,Dumped,2023-11-08,True,False,207,0.0,0.0,0.0,1,0.0,0.0,1.0,1,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,16:22,5,5,0,0,Women - United States,Hilary Knight,Zone Entry,126,83,Dumped,,,,Ashton Bell,,,True,False,False,F,True,Dumped,2023-11-08,True,False,218,0.0,0.0,1.0,0,0.0,1.0,1.0,1,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0,0
2023-11-08,Women - United States,Women - Canada,1,16:07,5,5,0,0,Women - Canada,Ashton Bell,Zone Entry,125,49,Dumped,,,,Savannah Harmon,,,False,True,True,D,False,Dumped,2023-11-08,True,False,233,0.0,0.0,1.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0,0
2023-11-08,Women - United States,Women - Canada,1,15:40,5,5,0,0,Women - Canada,Emily Clark,Zone Entry,124,41,Carried,,,,Savannah Harmon,,,False,True,True,F,True,Carried,2023-11-08,False,False,260,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0,0
2023-11-08,Women - United States,Women - Canada,1,14:07,5,5,0,0,Women - United States,Haley Winn,Zone Entry,125,80,Dumped,,,,Jamie Bourbonnais,,,True,False,False,D,False,Dumped,2023-11-08,True,False,353,1.0,1.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0,0
2023-11-08,Women - United States,Women - Canada,1,13:46,5,5,0,0,Women - United States,Abbey Murphy,Zone Entry,125,76,Dumped,,,,Jocelyne Larocque,,,True,False,False,F,True,Dumped,2023-11-08,True,False,374,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0,0
2023-11-08,Women - United States,Women - Canada,1,13:31,5,5,0,0,Women - Canada,Sarah Nurse,Zone Entry,125,8,Carried,,,,Haley Winn,,,False,True,False,F,True,Carried,2023-11-08,False,False,389,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.5,0,0
2023-11-08,Women - United States,Women - Canada,1,13:14,5,5,0,0,Women - Canada,Sarah Nurse,Zone Entry,127,35,Carried,,,,Haley Winn,,,False,True,False,F,True,Carried,2023-11-08,False,False,406,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,0,0
2023-11-08,Women - United States,Women - Canada,1,12:28,5,5,0,0,Women - Canada,Blayre Turnbull,Zone Entry,125,81,Carried,,,,Rory Guilday,,,False,True,False,F,True,Carried,2023-11-08,False,False,452,1.0,1.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,11:54,5,5,0,0,Women - Canada,Jamie Lee Rattray,Zone Entry,124,81,Dumped,,,,Natalie Buchbinder,,,False,True,True,F,True,Dumped,2023-11-08,True,False,486,0.0,0.0,1.0,0,1.0,1.0,0.0,0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,0,0
2023-11-08,Women - United States,Women - Canada,1,11:03,5,5,0,0,Women - United States,Megan Keller,Zone Entry,125,73,Carried,,,,Renata Fast,,,True,False,False,D,False,Carried,2023-11-08,False,False,537,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,0.0,1.0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0,0
2023-11-08,Women - United States,Women - Canada,1,10:56,5,5,0,0,Women - United States,Lacey Eden,Zone Entry,125,82,Played,,,,Renata Fast,,,True,False,True,F,True,Played,2023-11-08,False,True,544,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,0.0,1.0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0,0
